用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
権限,けんげん,3,jurisdiction,,裁判所の権限,jurisdiction of the court,裁判所法25条,,
権原,けんげん,1,title,,権原の性質上占有者に所有の意思がないものとされる場合には、,"In cases where it is assumed, due to the nature of the title, that a possessor does not have the intention to own,",民法185条,,
権原,けんげん,2,authority,,その取引によって取得した権原の範囲内,within the scope of authority acquired through such transaction,不正競争防止法19条,,
健康で文化的な生活,けんこうでぶんかてきなせいかつ,,healthy and cultured living,,,,,,
現行犯人,げんこうはんにん,,offender caught in the act,,,,,【Note】A person who is committing or has just committed an offense,
健康保険,けんこうほけん,,health insurance,,,,,,
原告,げんこく,,plaintiff,,,,,,
原告適格,げんこくてきかく,,standing to sue,,,,,,
検査,けんさ,1,inspection,原則,,,,,
検査,けんさ,2,audit,会計検査,会計検査院,the Board of Audit,,,
検査,けんさ,3,examination,身体検査,,,,,
減殺,げんさい,,abatement,,,,,,
現在地,げんざいち,1,current residence,,,,,,
現在地,げんざいち,2,current place,,,,,,
現在の危難,げんざいのきなん,,present danger,,,,,,
原裁判所,げんさいばんしょ,,court of prior instance,,,,,,
原材料,げんざいりょう,,raw material,,,,,,
検査機関,けんさきかん,1,inspection organization,,,,,,
検査機関,けんさきかん,2,inspection body,,,,,,
原作,げんさく,,original,,,,,,
検索の抗弁,けんさくのこうべん,,defense of debtor's solvency,,,,,,
原作品,げんさくひん,,original work(s),,,,,,
検査所,けんさじょ,,inspection station,,,,,,
検査証,けんさしょう,,inspection certificate,,,,,,
検察官,けんさつかん,,public prosecutor,,,,,,
検察事務官,けんさつじむかん,,public prosecutor's assistant officer,,,,,,
検察庁,けんさつちょう,,public prosecutors office,,,,,,
検査役,けんさやく,,inspector,,,,,,
検視,けんし,,coroner's inspection,,,,,,
検事正,けんじせい,,Chief Prosecutor,,,,,,
検事総長,けんじそうちょう,,Prosecutor General,,,,,,
検事長,けんじちょう,,Superintending Prosecutor,,,,,,
現実数値,げんじつすうち,,actual figure,,,,,,
現実の引渡し,げんじつのひきわたし,,actual delivery,,,,,,
現住建造物,げんじゅうけんぞうぶつ,,inhabited building,,,,,,
検証,けんしょう,1,observation,,,,,,
検証,けんしょう,2,inspection,刑事手続の場合,,,,,
原状回復,げんじょうかいふく,1,restoration,原則,,,,【注】賃借人が負う原状回復義務の場合は、restorationが用いられる。,
原状回復,げんじょうかいふく,2,recovery,,,,,,
原子力,げんしりょく,,nuclear (power),,,,,,
原子力損害,げんしりょくそんがい,,nuclear damage,,,,,,
原子炉,げんしろ,,(nuclear) reactor,,,,,,
建設仮勘定,けんせつかりかんじょう,,construction in progress,会計勘定科目,,,,,
建設業,けんせつぎょう,1,construction industry,「産業」という意味で用いる場合,建設業その他政令で定める業種,construction or other industries prescribed by Cabinet Order,労働安全衛生法15条,,
建設業,けんせつぎょう,2,construction business,「業種・職業」として用いる場合,製造業、建設業、運輸業その他の業種,"manufacturing business, construction business, transportation business, or any other business",独占禁止法7条の2,,
減損損失,げんそんそんしつ,,impairment loss,会計勘定科目,,,,,
源泉徴収,げんせんちょうしゅう,,withholding (at source),,,,,,
源泉徴収税,げんせんちょうしゅうぜい,,withholding tax,,,,,,
源泉徴収票,げんせんちょうしゅうひょう,,withholding certificate,,,,,,
建造物,けんぞうぶつ,,building,,,,,,
現存利益,げんぞんりえき,,actual enrichment,,,,,【注】（出典）破産法168条、民事再生法132条の2、会社更生法91条の2,
建築主,けんちくぬし,,(building) owner,,,,,,
建築物,けんちくぶつ,,building,,,,,,
原著作物,げんちょさくぶつ,,original work,,,,,,
限定承認,げんていしょうにん,,qualified acceptance,,,,,,
原動機付自転車,げんどうきつきじてんしゃ,,motorized bicycle,,,,,,
現に受けている利益,げんにうけているりえき,,actual enrichment,,,,,【注】（出典）破産法167条、民事再生法132条、会社更生法91条,
現に利益を受けている限度において,げんにりえきをうけているげんどにおいて,,to the extent actually enriched,,ただし、現に利益を受けている限度においてのみ、その財産を返還する義務を負う,"provided, however, that such person has the obligation to return such property only to the extent the person is actually enriched",民法32条2項,,
検認,けんにん,,probate,,,,,,
現場,げんば,1,the scene,原則,二人以上の者が現場において共同して犯した…罪,crimes … are committed jointly by two or more persons who are at the scene of crime.,刑法180条2項,,
現場,げんば,2,site,工事現場,工事現場,construction site,エネルギーの使用の合理化に関する法律25条,,
原盤,げんばん,,matrix,,,,,,
原判決,げんはんけつ,,judgment in prior instance,,,,,,
現物出資,げんぶつしゅっし,,contribution in kind,,,,,,
現物出資財産,げんぶつしゅっしざいさん,,property contributed in kind,,,,,,
建ぺい率,けんぺいりつ,,building coverage ratio,,,,,,
原簿,げんぼ,,register,,,,,,
憲法,けんぽう,,Constitution,,日本国憲法,the Constitution of Japan,,,
原本,げんぽん,,original,,,,,,
減免,げんめん,,reduction or release,,,,,,
権利,けんり,,right,,,,,,
権利管理情報,けんりかんりじょうほう,,rights management information,,,,,,
権利質,けんりしち,,pledge of right,,,,,,
権利承継人の訴訟参加,けんりしょうけいにんのそしょうさんか,,intervention by transferee of right,,,,,,
権利能力,けんりのうりょく,,(legal) capacity (to hold rights),,,,,,
権利の濫用,けんりのらんよう,,abuse of right,,,,,,
権利変動の対抗要件,けんりへんどうのたいこうようけん,,requirements for perfection of change in rights,,,,,,
権利を専有する,けんりをせんゆうする,,have an exclusive right,,,,,,
権利を有する者,けんりをゆうするもの,,person entitled to,,,,,,
故意,こい,,intention,,,,,,
項,こう,1,paragraph,原則,第２項,paragraph 2,,,
項,こう,2,para.,原則,第２項,para. 2,,,
項,こう,3,(2)(3)(4),見出しとして用いる場合,,,,,
項,こう,4,row,法令の表・別表中において、縦の線で区画されている区切りを指す場合,第２項,row 2,,,
号,ごう,1,item,原則,第３号,item 3,,,
号,ごう,2,(i)(ii)(iii),見出しとして用いる場合,,,,【注】号がさらに細分されている場合には、イロハ…は(a)(b)(c)…、（１）（２）（３）…は1. 2. 3.…、（i）（ii）（iii）…はi. ii. iii.…とする。,
公安,こうあん,1,public security,,,,,,
公安,こうあん,2,public safety,,,,,,
考案,こうあん,,device,,,,,,
公安委員会,こうあんいいんかい,,public safety commission,,,,,,
考案者,こうあんしゃ,,creator,,,,,,
行為,こうい,1,act,,,,,,
行為,こうい,2,conduct,,,,,,
合意,ごうい,,agreement,,,,,,
行為地,こういち,,place of the act,,行為地法,law of place of the act,,,
行為能力,こういのうりょく,,(legal) capacity (to act),,譲渡につき行為能力の制限を受けた所有者,a possessor who has limited capacity to act with respect to the act of assignment,民法476条,,
公印,こういん,,official seal,,,,,,
勾引状,こういんじょう,,subpoena,,,,,,
公益,こうえき,,public interest,,,,,,
公益委員,こうえきいいん,,public interest member,,,,,,
公益財団法人,こうえきざいだんほうじん,,public interest incorporated foundation,,,,,,
公益事業,こうえきじぎょう,1,public welfare undertaking,,,,,,
公益事業,こうえきじぎょう,2,public benefit service,,,,,,
公益社団法人,こうえきしゃだんほうじん,,public interest incorporated association,,,,,,
公益信託,こうえきしんたく,,public trust,,,,,,
公益通報,こうえきつうほう,,whistleblowing,,,,,,
公益通報者,こうえきつうほうしゃ,,whistleblower,,,,,,
公益法人,こうえきほうじん,,public interest corporation,,,,,,
公演,こうえん,,(public) performance,,,,,,
公課,こうか,,public charges,,,,,,
公開,こうかい,1,opening to the public,原則,審判は、これを公開しなければならない,All hearings must be open to the public,独占禁止法61条,,
公開,こうかい,2,disclosure,情報公開,行政機関の保有する情報の公開,Administrative Organs Information Disclosure,行政機関の保有する情報の公開に関する法律12条の2,,
更改,こうかい,,novation,,,,,,
公開会社,こうかいがいしゃ,,public company,,,,,,
公開買付け,こうかいかいつけ,,tender offer (bid),,,,,,
公害対策会議,こうがいたいさくかいぎ,,conference on environmental pollution control,,,,,,
公害防止,こうがいぼうし,,pollution control,,,,,,
交換,こうかん,,exchange,,,,,,
強姦,ごうかん,,rape,,,,,,
綱紀委員会,こうきいいんかい,,discipline committee,,,,,,
公記号,こうきごう,,official mark,,,,,,
合議制,ごうぎせい,,council system,,,,,,
合議体,ごうぎたい,1,council,原則,,,,,
合議体,ごうぎたい,2,panel,裁判体・審判体の場合,,,,,
降給,こうきゅう,,reduction of pay,,,,,,
恒久的施設,こうきゅうてきしせつ,,permanent establishment,,,,,,
興行,こうぎょう,1,entertainment,,,,,,
興行,こうぎょう,2,entertainer,在留資格の場合,,,,,
鉱業,こうぎょう,,mining,,鉱業権,mining right,外国弁護士による法律事務の取扱いに関する特別措置法3条,,
公共施設,こうきょうしせつ,,public facility,,,,,,
公共職業安定所,こうきょうしょくぎょうあんていしょ,,public employment security office,,,,,,
工業所有権,こうぎょうしょゆうけん,,industrial property right,,,,,,
公共の安全,こうきょうのあんぜん,,public safety,,,,,,
公共の危険,こうきょうのきけん,,danger to the public,,,,,,
公共の福祉,こうきょうのふくし,,public welfare,,,,,,
公共の利益,こうきょうのりえき,,public interest,,,,,,
公共用水域,こうきょうようすいいき,,public water area,,,,,,
拘禁,こうきん,,confinement,一般的な場合,,,,,
拘禁許可状,こうきんきょかじょう,,detention permit,,,,,【注】逃亡犯罪人引渡法に使用される用語,
拘禁状,こうきんじょう,,detention notice,,,,,【注】逃亡犯罪人引渡法、国際捜査共助等に関する法律に使用される用語,
航空機,こうくうき,,aircraft,,,,,,
航空・鉄道事故調査委員会,こうくうてつどうじこちょうさいいんかい,,aircraft and railway accidents investigation commission,,,,,,
攻撃防御方法,こうげきぼうぎょほうほう,,allegation and evidence,,,,,,
後見,こうけん,,guardianship,,,,,,
後見開始の審判,こうけんかいしのしんぱん,,ruling for commencement of guardianship,,,,,,
後見監督人,こうけんかんとくにん,,supervisor of guardian,,,,,,
後見人,こうけんにん,,guardian,,,,,,
航行,こうこう,,navigation,,,,,,
公告,こうこく,,public notice,,,,,,
抗告,こうこく,,appeal from/against a ruling,,,,,,
抗告裁判所,こうこくさいばんしょ,,a court in charge of an appeal,,,,,,
抗告訴訟,こうこくそしょう,,action for judicial review of administrative disposition,,,,,,
抗告人,こうこくにん,,appellant,,,,,,
交互計算,こうごけいさん,,open account,,,,,,
公債,こうさい,,public bond,,,,,,
口座管理機関,こうざかんりきかん,,account management institution,,,,,,
工作物,こうさくぶつ,,structure,,,,,,
行使,こうし,1,use,,,,,,
行使,こうし,2,exercise,,,,,,
行使,こうし,3,uttering,偽造文書等の場合,,,,,
公使,こうし,,minister,,,,,,
公示,こうじ,,public notice,,,,,,
合資会社,ごうしがいしゃ,,limited partnership company,,,,,,
公示催告,こうじさいこく,,public notification,,,,,,
公示送達,こうじそうたつ,,service by publication,,,,,【注】但し、FRCPや州の民事訴訟法で使われている 'service by publication' の場合は、通常、新聞紙上に掲載する方法で行われることとの違いに留意,
公私の,こうしの,,public or private,,公私の機関,public or private organization,出入国管理及び難民認定法7条1項2号の基準を定める省令前文,,
公社,こうしゃ,,public corporation,,,,,,
公社債,こうしゃさい,,public and corporate bond,,,,,,
強取,ごうしゅ,,robbery,,,,,,
公衆,こうしゅう,,public,,,,,,
公衆衛生,こうしゅうえいせい,,public health,,,,,,
公署,こうしょ,,public office,,,,,,
控除,こうじょ,,deduction,,,,,,
恒常的,こうじょうてき,1,constant,,,,,,
恒常的,こうじょうてき,2,permanent,,,,,,
公証人,こうしょうにん,,notary,,公証人の職務に関する債権,a claim regarding the duties of a notary public,民法172条,"【注】日本の公証人は大陸法系であるためnotaryと表記し、英米法系のnotary publicと区別する意味の訳。【Note】""Notary"" is similar to that of the Civil Law and different from ""notary public"" in Common Law.",
控除項目,こうじょこうもく,,deduction (item),会計勘定項目,,,,,
控除対象配偶者,こうじょたいしょうはいぐうしゃ,,spouse qualified for tax deduction,,,,,,
更新,こうしん,,renewal,,,,,,
更新登録,こうしんとうろく,,registration of renewal,,,,,,
更正,こうせい,1,correction,原則,,,,,
更正,こうせい,2,reassessment,税務,,,,,
更生,こうせい,1,rehabilitation,犯罪者,,,,,
更生,こうせい,2,reorganization,会社,,,,,
公正競争規約,こうせいきょうそうきやく,,fair competition code,,,,,,
更正決定,こうせいけってい,1,ruling of correction,判決の更正,,,,,
更正決定,こうせいけってい,2,reassessment,税務上の更正,,,,,
更生事件,こうせいじけん,,reorganization case,,,,,,
公正証書,こうせいしょうしょ,,notarial deed,,,,,,
更生手続,こうせいてつづき,,(corporate) reorganization proceedings,,,,,,
公正取引,こうせいとりひき,,fair trade,,,,,,
公正な,こうせいな,1,fair,原則,,,,,
公正な,こうせいな,2,impartial,偏りのない・中立な,,,,,
公正な慣行,こうせいなかんこう,,fair practice,,,,,,
公正な競争,こうせいなきょうそう,,fair competition,,,,,,
厚生年金,こうせいねんきん,1,employees pension insurance,厚生年金保険、厚生年金保険事業といった制度や仕組みを指す場合,,,,【注】厚生年金基金はEmployees Pension Fund,
厚生年金,こうせいねんきん,2,employees pension,老齢厚生年金、遺族厚生年金、障害厚生年金など、支給される年金を指す場合,老齢厚生年金,old-age employees pension,,,
厚生年金,こうせいねんきん,2,employees pension,老齢厚生年金、遺族厚生年金、障害厚生年金など、支給される年金を指す場合,遺族厚生年金,survivor's welfare pension,,,
厚生年金,こうせいねんきん,2,employees pension,老齢厚生年金、遺族厚生年金、障害厚生年金など、支給される年金を指す場合,障害厚生年金,disability employees pension,,,
更生保護,こうせいほご,1,rehabilitation,一般的な表現,,,,,
更生保護,こうせいほご,2,offenders rehabilitation,犯罪者の更生保護を明確にする場合,,,,,
更生保護,こうせいほご,3,rehabilitation service,担当機関や業務を意味する場合,,,,,
公然,こうぜん,,in public,,,,,,
控訴,こうそ,,appeal (to the court of second instance),,,,,【注】原則はappealのみでよい。他の上訴と明確に区別する必要のある場合に（to the court of second instance）を付記する。,
公訴棄却,こうそききゃく,,dismissal of prosecution,,,,,,
拘束,こうそく,1,binding,原則,上級審の裁判の拘束力,Binding Power of Superior Judicial Decision,裁判所法4条見出し,,
拘束,こうそく,2,custody,拘禁,被疑者が身体を拘束された時から四十八時間以内,within 48 hours from the time when the suspect was taken into custody,出入国管理及び難民認定法65条2項,,
拘束,こうそく,3,restraint,直接的な身体拘束,身体の拘束,physical restraint,刑事訴訟法113条,,
拘束,こうそく,4,restriction,制限,再販売価格の拘束,resale price restriction,不公正な取引方法12条,,
高速自動車国道,こうそくじどうしゃこくどう,,national expressway,,,,,,
拘束力,こうそくりょく,,binding effect,,,,,,
控訴裁判所,こうそさいばんしょ,,court of second instance,,,,,,
公訴事実,こうそじじつ,,charged fact,,,,,,
控訴趣意書,こうそしゅいしょ,,statement of reasons for appeal,,,,,,
控訴状,こうそじょう,,petition for appeal,,,,,,
控訴審,こうそしん,,court of second instance,,,,,,
控訴人,こうそにん,,appellant,,,,,,
公訴の提起,こうそのていき,,institution of prosecution,,,,,【注】「起訴」と同義。,
公訴を提起する,こうそをていきする,,institute prosecution,,,,,【注】「起訴する」と同義。,
後段,こうだん,,second sentence,,,,,【注】３文に区切られている場合には、中段がsecond sentence で、後段はthird sentence（４文以上の場合もこれに準じる）。,
構築物,こうちくぶつ,,structures,会計勘定科目,,,,,
拘置する,こうちする,,detain,,,,,,
港長,こうちょう,,Captain of the port,,,,,,
公聴会,こうちょうかい,,public hearing,,,,,,
公道,こうどう,,public road,,公道に至るための他の土地の通行権,right of passage over other land for access to public roads,民法210条,,
強盗,ごうとう,1,robbery,罪名,,,,,
強盗,ごうとう,2,robber,人,,,,,
合同運用信託,ごうどううんようしんたく,,jointly operated trust,,,,,,
合同会社,ごうどうがいしゃ,,limited liability company,,,,,,
高等学校,こうとうがっこう,,high school,,,,,,
高等裁判所,こうとうさいばんしょ,,high court,,,,,,
口頭審理,こうとうしんり,1,hearing,,処分を受けた職員から請求があつたときは、口頭審理を行わなければならない。,a hearing must be accorded if so requested by the official subject to the disposition,国家公務員法91条,,
口頭審理,こうとうしんり,2,oral hearing,,,,,,
口頭審理,こうとうしんり,3,oral proceeding(s),,特許無効審判及び延長登録無効審判は、口頭審理による。,A trial for patent invalidation or a trial for invalidation of the registration of extension of the duration of a patent must be conducted by oral proceedings,特許法145条,,
高等専修学校,こうとうせんしゅうがっこう,,upper secondary specialized training school,,,,,,
高等専門学校,こうとうせんもんがっこう,,college of technology,,,,,,
口頭の,こうとうの,,oral,,,,,,
口頭弁論,こうとうべんろん,,oral argument,,,,,【注】oral argumentは、日本の「口頭弁論」より狭い。,
口頭弁論調書,こうとうべんろんちょうしょ,,record of oral argument,,,,,【注】oral argumentは、日本の「口頭弁論」より狭い。,
口頭弁論の期日,こうとうべんろんのきじつ,,date for oral argument,,,,,,
口頭弁論の終結,こうとうべんろんのしゅうけつ,,conclusion of oral argument,,,,,,
口頭弁論の全趣旨,こうとうべんろんのぜんしゅし,,entire import of oral argument,,,,,,
高度な専門的知識,こうどなせんもんてきちしき,,sophisticated expertise,,,,,,
坑内労働,こうないろうどう,,underground work,,,,,【注】ILO第45号条約（日本批准）及び176号条約（日本未批准）英語原文においは、「underground work」とされている。,
降任,こうにん,,demotion,,,,,,
公認会計士,こうにんかいけいし,,certified public accountant,,,,,,
高年齢者,こうねんれいしゃ,,senior citizen,,,,,,
公判,こうはん,,(criminal) trial,,,,,,
公判期日,こうはんきじつ,,trial date,,,,,,
公判準備,こうはんじゅんび,,trial preparation,,,,,,
公判前整理手続,こうはんぜんせいりてつづき,,pretrial conference procedure,,,,,,
公判調書,こうはんちょうしょ,,trial record,,,,,,
公判廷,こうはんてい,1,open court,,,,,,
公判廷,こうはんてい,2,court room,,,,,,
公判手続,こうはんてつづき,,trial procedure,,,,,,
公表,こうひょう,1,publication,,,,,,
公表,こうひょう,2,announcement,,,,,,
公表,こうひょう,3,public announcement,,,,,,
公表,こうひょう,4,release,,,,,,
公表,こうひょう,5,disclosure,,研究開発等の状況の公表,"disclosure of status of research and development, etc",特定電子メール法13条,,
公表された著作物,こうひょうされたちょさくぶつ,,work(s) already made public,,,,,"【注】通例""works""（複数形）",
交付,こうふ,1,delivery,原則,配当財産の交付の方法,Methods of Delivery of Dividend Property,会社法457条見出し,,
交付,こうふ,2,issuance,免許・命令等,債権者集会参考書類及び議決権行使書面の交付,Issuance of Reference documents for Creditors' Meetings and Proxy Cards,会社法550条,,
交付,こうふ,3,grant,交付金等,国は、…補助金を交付することができる,The national government may grant a subsidy,植物防疫法25条,,
交付送達,こうふそうたつ,,personal service,,,,,,
公布の日,こうふのひ,,the date of promulgation,,,,,,
公布の日から起算して…を経過した日,こうふのひからきさんして…をけいかしたひ,,the day on which … have elapsed from the date of promulgation,,,,,,
公布の日から起算して…を超えない範囲内において政令で定める日,こうふのひからきさんして…をこえないはんいないにおいてせいれいでさだめるひ,,the day specified by Cabinet Order within a period not exceeding … from the date of promulgation,,,,,,
公文書,こうぶんしょ,,official document,,,,,,
公平かつ誠実に,こうへいかつせいじつに,,in a fair and sincere manner,,社債管理者は、社債権者のために、公平かつ誠実に社債の管理を行わなければならない,Bond managers must perform the administration of bonds in a fair and sincere manner on behalf of the bondholders,会社法704条1項,,
抗弁,こうべん,,(affirmative) defense,,,,,,
合弁企業,ごうべんきぎょう,,joint venture,,,,,,
公報,こうほう,,bulletin,,,,,,
航法,こうほう,,navigation rules,,,,,,
公務,こうむ,1,public service,性質としての公務,日本銀行の役員及び職員は、法令により公務に従事する職員とみなす。,The Bank of Japan's officers and employees are deemed to be officials engaged in public service pursuant to laws and regulations.,日本銀行法30条,,
公務,こうむ,2,public duty,具体的な公務,公務上の負傷又は疾病に起因する職員の死亡,death of the official caused by injury or disease incurred in line of public duty,国家公務員法94条3号,,
公務員,こうむいん,,government employee,,,,,,
公務執行妨害,こうむしっこうぼうがい,,obstruction of performance of public duty,,,,,,
公務所,こうむしょ,,public office,,,,,,
公務上,こうむじょう,,in line of public duty,,,,,,
合名会社,ごうめいがいしゃ,,general partnership company,,,,,,
拷問,ごうもん,,torture,,,,,,
公用文書,こうようぶんしょ,,document for governmental use,,,,,,
小売業,こうりぎょう,1,retail,,,,,,
小売業,こうりぎょう,2,retail business,,,,,,
小売業者,こうりぎょうしゃ,,retailer,,,,,,
合理的,ごうりてき,,reasonable,,,,,,
合理的理由,ごうりてきりゆう,,reasonable grounds,,,,,,
交流,こうりゅう,,exchange,,,,,,
勾留,こうりゅう,,detention,,,,,,
拘留,こうりゅう,,misdemeanor imprisonment without work,,,,,,
勾留状,こうりゅうじょう,,detention warrant,,,,,,
効力,こうりょく,1,effect,,,,,,
効力,こうりょく,2,validity,,他の連帯債務者の債務は、その効力を妨げられない,the validity of the obligation(s) of other joint and several obligor(s) is not impaired.,民法433条,,
効力を失う,こうりょくをうしなう,1,cease to be effective,原則,申込者が前項の申込みに対して同項の期間内に承諾の通知を受けなかったときは、その申込みは、その効力を失う,"If an offeror does not receive notice of acceptance of the offer set forth in the preceding paragraph within the period referred to in the same paragraph, the offer ceases to be effective.",民法521条2項,,
効力を失う,こうりょくをうしなう,2,expire,期限満了,登録は、三年を下らない政令で定める期間ごとにその更新を受けなければ、その期間の経過によつて、その効力を失う,An Accreditation expires by lapse of time unless it is renewed within each of the periods of not less than three years specified in a Cabinet Order.,工業標準化法28条,,
効力を生ずる,こうりょくをしょうずる,,become effective,,停止条件付法律行為は、停止条件が成就した時からその効力を生ずる,A juridical act which is subject to a condition precedent becomes effective upon fulfillment of the condition,民法127条１項,,
高齢者,こうれいしゃ,,elderly person,,,,,,
航路,こうろ,1,traffic route,原則,,,,,
航路,こうろ,2,passage,港湾内の航路,,,,,
港湾,こうわん,,port and harbor,,,,,,
子会社,こがいしゃ,,subsidiary company,,,,,,
小型武器,こがたぶき,,small arms and light weapons,,,,,,
小切手,こぎって,,check,,,,,,
小切手訴訟,こぎってそしょう,,action on checks,,,,,,
国語,こくご,,national language,,,,,,
国債,こくさい,,national government bond,,,,,,
国際機関,こくさいきかん,,international organization,,,,,,
国際規制物資,こくさいきせいぶっし,,internationally controlled material,,,,,,
国際協力,こくさいきょうりょく,,international cooperation,,,,,,
国際緊急援助隊,こくさいきんきゅうえんじょたい,,international disaster rescue team,,,,,,
国際金融,こくさいきんゆう,,international finance,,,,,,
国際公開,こくさいこうかい,,international publication,,,,,,
国際実用新案登録出願,こくさいじつようしんあんとうろくしゅつがん,,international application for utility model registration,,,,,,
国際出願,こくさいしゅつがん,,international application,,,,,,
国際出願日,こくさいしゅつがんび,,international application date,,,,,,
国際商標登録出願,こくさいしょうひょうとうろくしゅつがん,,international application for trademark registration,,,,,,
国際登録,こくさいとうろく,,international registration,,,,,,
国際登録出願,こくさいとうろくしゅつがん,,application for international registration,,,,,,
国際登録簿,こくさいとうろくぼ,,international register,,,,,,
国際特許出願,こくさいとっきょしゅつがん,,international patent application,,,,,,
国際文化交流,こくさいぶんかこうりゅう,,international cultural exchange,,,,,,
国際平和協力,こくさいへいわきょうりょく,,international peace cooperation,,,,,,
国際約束,こくさいやくそく,,international agreement,,,,,,
告示,こくじ,,public notice,,,,,,
国税,こくぜい,,national tax,,,,,,
国税不服審判所,こくぜいふふくしんぱんしょ,,National Tax Tribunal,,,,,,
国税不服審判所長,こくぜいふふくしんぱんしょちょう,,President of National Tax Tribunal,,,,,,
国籍,こくせき,,nationality,,国籍の喪失,loss of nationality,国籍法11条,,
告訴,こくそ,,criminal complaint,,,,,,
告知,こくち,1,announcement,原則,裁決の告知は、審判廷における言渡によつてこれをする,The announcement of determination must be made by the pronouncement in the court of inquiry.,海難審判法42条,,
告知,こくち,2,notification,個別の告知,裁判長は…まず、被告人に対し、終始沈黙し、又は個々の質問に対し陳述を拒むことができる旨を告知しなければならない,the presiding judge must ... begin by giving notification to the accused that the accused may remain silent at all times or may refuse to answer particular questions.,刑事訴訟法316条の9第3項,,
告知,こくち,3,notice,,,,,,
国道,こくどう,,national highway,,,,,,
国内,こくない,1,domestic,原則,,,,,
国内,こくない,2,in Japan,日本国内であることを強調する場合,,,,,
国内,こくない,3,within this/the country,外国の国内を意味する場合,,,,,
国内売上高,こくないうりあげだか,,domestic sales (volume),,,,,,
国内源泉所得,こくないげんせんしょとく,,domestic source income,,,,,,
国内公表,こくないこうひょう,1,national publication,,,,,,
国内公表,こくないこうひょう,2,national announcement,,,,,,
国内受刑者,こくないじゅけいしゃ,,domestic sentenced person,,,,,,
国内書面提出期間,こくないしょめんていしゅつきかん,,period for filing national form paper,,,,,,
国内倒産処理手続,こくないとうさんしょりてつづき,,domestic insolvency proceedings,,,,,,
国内登録検査機関,こくないとうろくけんさきかん,,domestic registered conformity inspection body,,,,,,
告発,こくはつ,,accusation,,,,,,
国宝,こくほう,,national treasure,,,,,,
国民,こくみん,1,citizen,,,,,,
国民,こくみん,2,national,,,,,,
国民,こくみん,3,the people,,,,,,
国民経済,こくみんけいざい,,national economy,,,,,,
国民審査,こくみんしんさ,,national referendum,,,,,,
国民生活,こくみんせいかつ,,lives of the citizenry,,,,,,
国民年金,こくみんねんきん,,national pension,,,,,,
国有財産,こくゆうざいさん,,national property,,,,,,
国立大学法人,こくりつだいがくほうじん,,national university corporation,,,,,,
小商人,こしょうにん,,petty merchant,,,,,,
個人,こじん,,individual,,,,,,
個人再生委員,こじんさいせいいいん,,individual rehabilitation commissioner,,,,,,
個人識別情報,こじんしきべつじょうほう,,information for personal identification,,,,,,
個人情報,こじんじょうほう,,personal information,,,,,,
戸籍,こせき,,family register,,,,,,
戸籍簿,こせきぼ,,family register book,,,,,,
護送,ごそう,,escort,,,,,,
国家公務員,こっかこうむいん,,national government employee,,,,,,
国家公務員倫理審査会,こっかこうむいんりんりしんさかい,,National Public Service Ethics Board,,,,,,
国家試験,こっかしけん,,national examination,,,,,,
国旗,こっき,,national flag,,,,,,
国庫,こっこ,1,treasury,原則,収入を国庫に納めなければならない,must turn over all the receipts to the Treasury,会計法2条,,
国庫,こっこ,2,national treasury,国民との関係で「国庫」が国のものであることを強調する場合,国庫の状況その他財政の状況について、国会及び国民に報告しなければならない,must give an account to the Diet and the people about the situation of national treasury and others concerning finance,財政法46条2項,,
国庫金,こっこきん,,treasury money,,国庫金の状況,state of the Treasury money,財政法34条2項,,
国庫納付金,こっこのうふきん,,payment to national treasury,,,,,,
固定資産,こていしさん,,fixed assets,会計勘定科目,,,,,
固定資産税,こていしさんぜい,,fixed asset tax,,,,,,
固定負債,こていふさい,,fixed liabilities,会計勘定科目,,,,,
この場合において、…中「…」とあるのは、「…」と読み替えるものとする,このばあいにおいて、…ちゅう「…」とあるのは、「…」とよみかえるものとする,,"in this case, the term ""…"" in … is deemed to be replaced with ""…""",,,,,,
この法律において、次の各号に掲げる用語の意義は、当該各号に定めるところによる,このほうりつにおいて、つぎのかくごうにかかげるようごのいぎは、とうがいかくごうにさだめるところによる,,"in this Act, the meanings of the terms set forth in the following items are as prescribed respectively in those items",,,,,,
この法律において「…」とは、…をいう,このほうりつにおいて「…」とは、…をいう,,"the term ""…"" as used in this Act means …",,,,,,
この法律に規定するもののほか、…は、…で定める,このほうりつにきていするもののほか、…は、…でさだめる,,"in addition to what is provided for in this Act, … are prescribed by …",,,,,,
この法律による改正後の,このほうりつによるかいせいごの,,revised by this Act,,この法律による改正後の関連法律の規定,the provisions of concerned Acts revised by this Act,,,
この法律による改正前の,このほうりつによるかいせいまえの,,prior to revision by this Act,,この法律による改正前の特許法の規定,the provisions of the Patent Act prior to revision by this Act,,,
この法律は、…限り、その効力を失う,このほうりつは、…かぎり、そのこうりょくをうしなう,,this Act ceases to be effective at the end of …,,,,,,
この法律は、…から施行する,このほうりつは、…からしこうする,,this Act comes into effect as of …,,,,,,
この法律は、…に関し必要な事項を定めるものとする,このほうりつは、…にかんしひつようなじこうをさだめるものとする,,this Act provides for necessary matters concerning …,,,,,,
この法律は、…を目的とする,このほうりつは、…をもくてきとする,,the purpose of this Act is …,,,,,,
顧問,こもん,1,adviser,,,,,,
顧問,こもん,2,consultant,,,,,,
